#DeCS_code	Term_Spanish	Synonyms
2	temefós	Temefós
3	mataderos	Desolladero|Desolladeros|Matadero|Mataderos
4	abreviaturas como asunto	Abreviatura de los Medicamentos|Abreviaturas como Asunto|Abreviaturas como Tema|Acrónimos como Asunto|Acrónimos como Tema
5	abdomen	Abdomen
6	abdomen agudo	Abdomen Agudo|Abdomen en Tabla|abdomen en tabla
7	traumatismos abdominales	Lesiones Abdominales|Traumatismos Abdominales|lesiones abdominales
8	neoplasias abdominales	Neoplasias Abdominales|Tumores Abdominales|tumores abdominales|tumores del abdomen
10	nervio abducens	Nervio Abducens|Nervio Abducente|Nervio Craneal VI|Nervio Motor Ocular Externo|Sexto Nervio Craneal|VI Nervio Craneal|VI Par Craneal|VI nervio craneal|VI par craneal|nervio abducente|nervio motor ocular externo|sexto nervio craneal
11	virus de la leucemia murina de Abelson	Virus de la Leucemia Murina de Abelson|Virus de la Leucemia de Abelson|virus de la leucemia de Abelson
12	abetalipoproteinemia	Abetalipoproteinemia|Deficiencia de Proteína de Transferencia de Triglicéridos Microsómicos|Enfermedad por Deficiencia de la Proteína de Transferencia de Trigliceridos Microsómicos|Síndrome de Bassen-Kornzweig|enfermedad por deficiencia de betalipoproteína|enfermedad por deficiencia de la proteína de transferencia de triglicéridos microsómicos|síndrome de Bassen-Kornzweig
14	anomalías congénitas	Anomalía Congénita|Anomalías Congénitas|Defectos Congénitos|Deformidades|Malformaciones|Malformaciones Congénitas|defectos congénitos|defectos de nacimiento|deformidades|malformaciones
15	anomalías inducidas por medicamentos	Anomalías Inducidas por Drogas|Anomalías Inducidas por Medicamentos|Anomalías Inducidas por Sustancias Medicamentosas|Malformaciones Inducidas por Drogas|Malformaciones Inducidas por Medicamentos|Malformaciones Inducidas por Sustancias Medicamentosas|anomalías inducidas por drogas|anomalías inducidas por sustancias medicamentosas|malformaciones inducidas por drogas|malformaciones inducidas por medicamentos|malformaciones inducidas por sustancias medicamentosas
16	anomalías múltiples	Anomalías Múltiples|Malformaciones Múltiples|malformaciones múltiples
17	anomalías inducidas por radiaciones	Anomalía Inducida por Radiación|Anomalías Inducidas por Radiación|Malformaciones Inducidas por Radiación|Malformación Inducida por Radiación|anomalía inducida por radiación|anomalías inducidas por radiación|malformaciones inducidas por radiación|malformación inducida por radiación
19	sistema del grupo sanguíneo ABO	Factores ABO|Grupo Sanguíneo ABH|Sistema del Grupo Sanguíneo ABO|factores ABO|grupo sanguíneo ABH
20	abomaso	Abomaso|Cuajar|cuajar
21	solicitantes de aborto	Interesados en Aborto|Solicitantes de Aborto|demandantes de aborto
22	abortivos	Abortivos|Agentes Abortivos|Efecto Abortivo|Sustancias Abortivas|sustancias abortivas
